Query,title,Label,Product Description,,description,brand,price,availability
Benjara tables above $300,Traditional Silver Wooden Vanity Table,1,"Benjara Traditional Silver Wooden Vanity Table, a beautiful transitional vanity table with gently curved legs, multiple drawers, and shelves for organizing makeup and beauty products, priced at $354.11.",,This transitional vanity table proudly displays gently curved legs that help draw attention to the carved details on the drawer panels. Spread out your makeup and beauty products across the two shelves or in the multiple drawers so everything is in one place. It enhances the beauty of the room.,Benjara,354.11,InStock
Luxury black tables under $50,Traditional Silver Wooden Vanity Table,0,"Benjara Traditional Silver Wooden Vanity Table, transitional vanity table, gently curved legs, priced at $354.11.",,This transitional vanity table proudly displays gently curved legs that help draw attention to the carved details on the drawer panels. Spread out your makeup and beauty products across the two shelves or in the multiple drawers so everything is in one place. It enhances the beauty of the room.,Benjara,354.11,InStock
Gray coffee tables below $50,Traditional Silver Wooden Vanity Table,0,"Benjara Traditional Silver Wooden Vanity Table, transitional with curved legs, priced at $354.11.",,This transitional vanity table proudly displays gently curved legs that help draw attention to the carved details on the drawer panels. Spread out your makeup and beauty products across the two shelves or in the multiple drawers so everything is in one place. It enhances the beauty of the room.,Benjara,354.11,InStock
Black decorative office chair,Traditional Silver Wooden Vanity Table,0,"Benjara Traditional Silver Wooden Vanity Table, transitional vanity table, gently curved legs, priced at $354.11.",,This transitional vanity table proudly displays gently curved legs that help draw attention to the carved details on the drawer panels. Spread out your makeup and beauty products across the two shelves or in the multiple drawers so everything is in one place. It enhances the beauty of the room.,Benjara,354.11,InStock
Luxury vanity tables,Traditional Silver Wooden Vanity Table,1,"Benjara Traditional Silver Wooden Vanity Table, transitional vanity table with gently curved legs and multiple drawers, priced at $354.11.",,This transitional vanity table proudly displays gently curved legs that help draw attention to the carved details on the drawer panels. Spread out your makeup and beauty products across the two shelves or in the multiple drawers so everything is in one place. It enhances the beauty of the room.,Benjara,354.11,InStock
Outdoor tables below $100,Polyester Rectangular Weather Resistant Outdoor Patio Tan Table Cover,1,"Unbranded Polyester Rectangular Weather Resistant Outdoor Patio Table Cover, a durable cover made of reinforced polyester, ideal for protecting outdoor tables from harsh weather, priced at $80.25.",,"This Rectangle Patio Table Cover provides high quality protection to your outdoor table or fire table. The cover has a protective fabric system that will not crack in cold weather. It is made of heavy-duty reinforced polyester to enchance the weather resistant properties. For safety reasons, please make sure this fabric cover only can be used when your gas firepit Table is absolutely and completely cooled down.",Unbranded,80.25,InStock
Weather-resistant outdoor tables under $100,Polyester Rectangular Weather Resistant Outdoor Patio Tan Table Cover,1,"Unbranded Polyester Rectangular Weather Resistant Outdoor Patio Table Cover, providing weatherproof protection for outdoor tables, priced at $80.25.",,"This Rectangle Patio Table Cover provides high quality protection to your outdoor table or fire table. The cover has a protective fabric system that will not crack in cold weather. It is made of heavy-duty reinforced polyester to enchance the weather resistant properties. For safety reasons, please make sure this fabric cover only can be used when your gas firepit Table is absolutely and completely cooled down.",Unbranded,80.25,InStock
Outdoor furniture covers under $100,Polyester Rectangular Weather Resistant Outdoor Patio Tan Table Cover,1,"Unbranded Polyester Rectangular Weather Resistant Outdoor Patio Table Cover, a durable cover ideal for protecting patio tables, priced at $80.25.",,"This Rectangle Patio Table Cover provides high quality protection to your outdoor table or fire table. The cover has a protective fabric system that will not crack in cold weather. It is made of heavy-duty reinforced polyester to enchance the weather resistant properties. For safety reasons, please make sure this fabric cover only can be used when your gas firepit Table is absolutely and completely cooled down.",Unbranded,80.25,InStock
Outdoor tray tables under $50,Polyester Rectangular Weather Resistant Outdoor Patio Tan Table Cover,1,"Unbranded Polyester Rectangular Weather Resistant Outdoor Patio Table Cover, ideal for outdoor use, priced at $80.25.",,"This Rectangle Patio Table Cover provides high quality protection to your outdoor table or fire table. The cover has a protective fabric system that will not crack in cold weather. It is made of heavy-duty reinforced polyester to enchance the weather resistant properties. For safety reasons, please make sure this fabric cover only can be used when your gas firepit Table is absolutely and completely cooled down.",Unbranded,80.25,InStock
Black outdoor tables under $50,Polyester Rectangular Weather Resistant Outdoor Patio Tan Table Cover,0,"Unbranded Polyester Rectangular Weather Resistant Outdoor Patio Table Cover, ideal for protecting outdoor tables, priced at $80.25.",,"This Rectangle Patio Table Cover provides high quality protection to your outdoor table or fire table. The cover has a protective fabric system that will not crack in cold weather. It is made of heavy-duty reinforced polyester to enchance the weather resistant properties. For safety reasons, please make sure this fabric cover only can be used when your gas firepit Table is absolutely and completely cooled down.",Unbranded,80.25,InStock
